Source Code (sc),Language (slg),Source Type (fmt),Source Name (sn),Source Name - Native Language (asn),Directory Name (dn),Status Name (std),Discontinued Date (dsd),Type of  Coverage - Article Level (lva),Type of  Coverage - Source Level (lvs),Online Date (od),First Issue Online (fio),Description - English Language (de),Description - Native Language (dea),Frequency (frp),Online Availability Target (lag),Update Schedule (upn),External Notes (ntx),Pseudo-IP (pip),Source Web Site Address (url),Publisher Code (pbc),Publisher (pub),Circulation (cir),Circulation Source Code (cis),Circulation Source Name (csn),Primary Source Type Code (pst),Primary Source Type (psd),Source Family Group Code (sfg),Region of Origin Group Code (roo),Most Recent Issue Online (mri)
AFMAEN,English,article,African Manager,African Manager,African Manager,Active,,Full Text,Full Coverage,20110409,20110407,"African Manager is a multi-lingual online business and financial news website, updated daily, and focused on Africa and the Middle East. Country of origin: Tunisia","African Manager is a multi-lingual online business and financial news website, updated daily, and focused on Africa and the Middle East. Country of origin: Tunisia",Monday-Saturday,Same day as publication date,Monday-Saturday,,ALBWBA,http://www.africanmanager.com/site_eng/index.php,AFMAN,African Manager,,,,MAGWEB,"Web Sites: Magazines, Journals & Newsletters",,Africa (AFRICA); Mediterranean (MEDZ); North Africa (NAFR); Tunisia (TUNIS),20210122
AFMG,Arabic,article,African Manager,African Manager,African Manager (Arabic Language),Active,,Full Text,Full Coverage,20110430,20100701,"African Manager is a multi-lingual online business and financial news website, updated daily, focused on Africa and the Middle East. Country of origin: Tunisia","African Manager is a multi-lingual online business and financial news website, updated daily, focused on Africa and the Middle East. Country of origin: Tunisia",Daily,Same day as publication date,Throughout the day,,ALBWBA,https://africanmanager.com/site_ar,AFMAN,African Manager,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Mediterranean (MEDZ); North Africa (NAFR); Tunisia (TUNIS),20210122
AFMAFR,French,article,African Manager,African Manager,African Manager (French Language),Active,,Full Text,Full Coverage,20100809,20100804,"African Manager is a multi-lingual online business and financial news website, updated daily, and focused on Africa and the Middle East. Country of origin: Tunisia","African Manager est un site multilingue d'actualités dédié aux affaires et à la finance. Actualisé quotidiennement, il se concentre sur les thèmes liés à l'Afrique et au Moyen-Orient. Pays d'origine: Tunisie",Daily,Same day as publication date,Throughout the day,,ALBWBA,http://www.africanmanager.com,AFMAN,African Manager,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Mediterranean (MEDZ); North Africa (NAFR); Tunisia (TUNIS),20210122
APOENG,English,article,African Press Organization,African Press Organization,African Press Organization,Active,,Full Text,Full Coverage,20101220,20101218,"The African Press Organization offers a complete range of media relations tools such as press releases distribution, press videoconference, webcast, events promotion and media monitoring. Country of origin: Senegal","The African Press Organization offers a complete range of media relations tools such as press releases distribution, press videoconference, webcast, events promotion and media monitoring. Country of origin: Senegal",Monday-Friday,Continuously updated,Throughout the day,,AFPO,http://apo-opa.com,AFPO,African Press Organization,,,,PRWIR,"Wires: Press Release, Exchange and Disclosure Wire",African Press Organization - All sources (SFAPO),Africa (AFRICA); Senegal (SENEG); West Africa (WAFR),20210122
APOARB,Arabic,article,African Press Organization,African Press Organization,African Press Organization (Arabic Language),Active,,Full Text,Full Coverage,20111103,20111103,"The African Press Organization offers a complete range of media relations tools such as press release distribution, virtual press conferences, webcast, events promotion, and media monitoring. Country of origin: Senegal","The African Press Organization offers a complete range of media relations tools such as press release distribution, virtual press conferences, webcast, events promotion, and media monitoring. Country of origin: Senegal",Irregular,As available,As available,,AFPO,http://www.apo-opa.org,AFPO,African Press Organization,,,,PRWIR,"Wires: Press Release, Exchange and Disclosure Wire",African Press Organization - All sources (SFAPO),Africa (AFRICA); Senegal (SENEG); West Africa (WAFR),20210122
APOG,German,article,African Press Organization,African Press Organization,African Press Organization (German Language),Discontinued,20180410.0,Full Text,Full Coverage,20111108,20111108,"The African Press Organization offers a complete range of media relations tools such as press release distribution, virtual press conferences, webcast, events promotion, and media monitoring. Country of origin: Senegal","Die African Press Organization is Marktführer in Media Relations über Afrika. Sie bietet die ganze Bandbreite an Mitteln für Media Relations wie die Verbreitung von Pressemitteilungen, virtuelle Pressekonferenzen, Webcast, Event Promotion und Medienmonitoring. 
Die African Press Organization stellt kostenfreie Dienste für Afrikanische Journalisten und innovative Kommunikationsprodukte für Behörden zur Verfügung und unterstützt viele afrikanische und internationale Institutionen und Firmen in ihrer strategischen Kommunikation. Herkunftsland: Senegal",Irregular,Discontinued,Not available,This source has stopped updating.,AFPO,http://www.apo-opa.org/,AFPO,African Press Organization,,,,PRWIR,"Wires: Press Release, Exchange and Disclosure Wire",African Press Organization - All sources (SFAPO),Africa (AFRICA); Senegal (SENEG); West Africa (WAFR),20150902
APOPT,Portuguese,article,African Press Organization,African Press Organization,African Press Organization (Portuguese Language),Active,,Full Text,Full Coverage,20111102,20111102,"The African Press Organization offers a complete range of media relations tools such as press release distribution, virtual press conferences, webcast, events promotion and media monitoring. Country of origin: Senegal","A Organização de Imprensa da África dispões de uma gama completa de ferramentas de assessoria de mídia, tais como distribuição de press release, webcast, divulgação de eventos, conferências de imprensa virtuais e monitoramento de mídia. País de origem: Senegal",Irregular,Same day as publication date,As available,,AFPO,https://www.africa-newsroom.com/,AFPO,African Press Organization,,,,PRWIR,"Wires: Press Release, Exchange and Disclosure Wire",African Press Organization - All sources (SFAPO),Africa (AFRICA); Senegal (SENEG); West Africa (WAFR),20210122
APOSP,Spanish,article,African Press Organization,African Press Organization,African Press Organization (Spanish Language),Discontinued,20180410.0,Full Text,Full Coverage,20111103,20111103,"The African Press Organization offers a complete range of media relations tools such as press release distribution, virtual press conferences, webcast, events promotion, and media monitoring. Country of origin: Senegal","La Organizacion de Prensa Africana es líder en relaciones de medios relacionadas con Africa. Ofrece una extensa línea de herramientas como la distribución de informes de prensa, conferencias virtuales de prensa, “webcast”, promoción de eventos, y monitorización de los medios. La Organización Africana de Prensa proporciona un servicio gratuito a los periodistas Africanos, productos de comunicación de última tecnología a las autoridades Públicas, y colabora con diversas instituciones y compañías Internacionales y Africanas en la comunicación estratégica. País de origen: Senegal",Irregular,Discontinued,Not available,This source has stopped updating.,AFPO,http://www.apo-opa.org/,AFPO,African Press Organization,,,,PRWIR,"Wires: Press Release, Exchange and Disclosure Wire",African Press Organization - All sources (SFAPO),Africa (AFRICA); Senegal (SENEG); West Africa (WAFR),20150914
NEWAGE,English,article,Afro Voice,Afro Voice,Afro Voice (South Africa),Discontinued,20180824.0,Full Text,Full Coverage,20160127,20151223,National daily newspaper covering all nine provinces of South Africa. Formerly known as New Age. Country of origin: South Africa,National daily newspaper covering all nine provinces of South Africa. Formerly known as New Age. Country of origin: South Africa,"Daily source, irregular weekend edition",Discontinued,Not available,Include content from E-paper and website. | This source ceased publication.,HINDU1,http://thenewage.co.za,TNAMED,TNA Media (Pty) Ltd.,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20180817
AGBNIP,French,article,Agence Bénin Presse,Agence Bénin Presse,Agence Bénin Presse (French Language),Discontinued,20160808.0,Full Text,Full Coverage,20150601,20150601,"News agency with indepth coverage of politics, business, culture, and sports. Country of origin: Benin","Agence de Presse offrant des informations exhaustives sur les événements liés à la politique, aux affaires et à la culture. Pays d'origine: Bénin",Daily,Discontinued,Not available,This source ceased publication.,ALBWBA,http://www.abp.gouv.bj/,PBABPR,Agence Bénin Presse,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Benin (BENIN); West Africa (WAFR),20160301
AGBUP,French,article,Agence Burundaise de Presse,Agence Burundaise de Presse,Agence Burundaise de Presse (French Language),Active,,Full Text,Full Coverage,20201212,20201028,"Agence Burundaise de Presse (ABP) is a state-run news agency in Burundi that covers national and international news, state news, business, culture, health, politics, tourism, transport and more. Country or origin: Burundi","L'Agence Burundaise de presse (ABP) est une agence de presse publique burundaise qui couvre l'actualité nationale et internationale, l'actualité du gouvernement, les affaires, la culture, la santé, la politique et les transports. Pays d'origine: Burundi",Daily,Same day as publication date,"Daily, as available",,ALBWBA,http://abpinfos.com/,PBBURUP,Agence Burundaise de Presse (ABP),,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Burundi (BURUN); East Africa (EAFR),20210122
AGCEP,French,article,Agence Centrafricaine de Presse,Agence Centrafricaine de Presse,Agence Centrafricaine de Presse (French Language),Active,,Full Text,Full Coverage,20201211,20201105,"Agence Centrafricaine de Presse is a state-run news agency in Central African Republic that covers national and international news, state news, business, culture, health, politics, tourism, transport and more. Country of origin: Central African Republic","L'Agence Centrafricaine de Presse est une agence de press publique centrafricaine qui couvre l'actualité nationale et internationale, l'actualité du gouvernement, les affaires, le culture, la santé, la politique, le tourisme, et les transports. Pays d'origine: République Centrafricaine",Daily,Same day as publication date,"Daily, as available",,ALBWBA,https://www.acap.cf/,PBCAFRP,l'Agence Centrafricaine de Presse,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Central African Republic (CAFR); Central Africa (CEAFR),20210122
CONGPR,French,article,Agence Congolaise de Presse,Agence Congolaise de Presse,Agence Congolaise de Presse (French Language),Active,,Full Text,Full Coverage,20150408,20150405,"News agency covering business, politics, culture and sports. Country of origin: Democratic Republic of the Congo","Agence de Presse offrant des informations exhaustives sur les événements liés à la politique, aux affaires et à la culture. Pays d'origine: République Démocratique du Congo",Daily,As available,As available,Source is government owned or controlled.,ALBWBA,http://www.acpcongo.com,PBACPR,Agence Congolaise de Presse,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Central Africa (CEAFR); Democratic Republic of the Congo (ZAIRE),20210122
BUKNAFR,French,article,Agence d'Informations du Burkina,Agence d'Informations du Burkina,Agence d'Informations du Burkina (French Language),Active,,Full Text,Full Coverage,20131010,20130910,"Agence d'Informations du Burkina is a French language news agency from Burkina Faso, covering the business news, politics, culture and sport. Country of origin: Burkina Faso","Agence d'Informations du Burkina Faso est une agence de presse francophone qui couvre l'actualité économique, politique, culturelle et sportive du Burkina Faso. Pays d'origine: Burkina Faso",Daily,Same day as publication date,"Daily, as available",Source is government owned or controlled.,ALBWBA,http://www.aib.bf,AGBURK,Agence d'Informations du Burkina,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Burkina Faso (UPVOLA); West Africa (WAFR),20210122
APSFR,French,article,Agence de Presse Sénégalaise – APS,Agence de Presse Sénégalaise – APS,Agence de Presse Sénégalaise – APS (French Language),Active,,Full Text,Full Coverage,20200819,20190427,"Agence de Presse Senegalaise is an online news agency, covering regional, national news and current affairs including politics, economics, culture and sport. Country of origin: Senegal","L'Agence de Presse Sénégalaise est une agence de presse en ligne couvrant les nouvelles régionales et nationales et les actualités au Sénégal, y compris la politique, l'économie, la culture et le sport. Pays d'origine: Sénégal",Daily,Same day as publication date,As available,,ALBWBA,http://www.aps.sn/,AGPAF,Agence de Presse Africaine,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Senegal (SENEG); West Africa (WAFR),20210122
AGBOP,French,article,Agence Gabonaise de Presse,Agence Gabonaise de Presse,Agence Gabonaise de Presse (French Language),Active,,Full Text,Full Coverage,20201211,20201027,"Agence Gabonaise de Presse (AGP) is a state-run news agency in Gabon that covers national and international news, state news, business, culture, health, politics, tourism, transport and more. Country of origin: Gabon","L'Agence Gabonaise de Presse (AGP) est une agence de presse publique gabonaise qui couvre l'actualité nationale et internationale, l'actualité du gouvernement gabonais, les affaires, la culture, la santé, la politique, le tourisme, et les transports. Pays d'origine: Gabon",Daily,Same day as publication date,"Daily, as available",,ALBWBA,http://www.agpgabon.ga/,PBGABON,Agence Gabonaise de Presse,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Central Africa (CEAFR); Gabon (GABON),20210122
AGIVOR,French,article,Agence Ivoirienne de Presse,Agence Ivoirienne de Presse,Agence Ivoirienne de Presse (French Language),Active,,Full Text,Full Coverage,20130807,20130807,"National news agency of Côte d'Ivoire, AIP covers the business, social, cultural and sports events at the national and African levels. Country of origin: Côte d'Ivoire","Agence nationale d'information de la Côte d'Ivoire, l'AIP couvre l'actualité économique, sociale, culturelle et sportive nationale et africaine. Pays d'origine: Côte d'Ivoire",Daily,Same day as publication date,As available,There is a gap in coverage between July 2015 and April 2016. | Source is government owned or controlled.,AGIDPR,http://www.aip.ci,AGIDPR,Agence Ivoirienne de Presse,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Cote d'Ivoire (ICST); West Africa (WAFR),20210122
AGEMAP,English,article,Agence Marocaine De Presse (MAP),Agence Marocaine De Presse (MAP),Agence Marocaine De Presse (MAP),Active,,Full Text,Full Coverage,20090922,20090909,Agence Marocaine De Presse (MAP) is the official government news agency of Morocco. Formerly known as Agence Maghreb Arabe Presse. Country of origin: Morocco,Agence Marocaine De Presse (MAP) is the official government news agency of Morocco. Formerly known as Agence Maghreb Arabe Presse. Country of origin: Morocco,Daily,As available,4 p.m. (GMT),Source is government owned or controlled.,ALBWBA,http://www.map.ma/en,AGMAP,Agence Maghreb Arabe Presse,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20210122
MAPMAR,Arabic,article,Agence Marocaine De Presse (MAP),Agence Marocaine De Presse (MAP),Agence Marocaine De Presse (MAP) (Arabic Language),Active,,Full Text,Full Coverage,20110430,20100701,"News from Agence Marocaine De Presse (MAP), the official government news agency of Morocco based in Rabat. Formerly known as Agence Maghreb Arabe Presse. Country of origin: Morocco","News from Agence Marocaine De Presse (MAP), the official government news agency of Morocco based in Rabat. Formerly known as Agence Maghreb Arabe Presse. Country of origin: Morocco",Monday-Saturday,Continuously updated,Throughout the day,"There is a gap in coverage from October 3th, 2011 to January 17th, 2013.",ALBWBA,http://www.map.ma/ar,AGMAP,Agence Maghreb Arabe Presse,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20210122
AMRITAR,Arabic,article,Agence Mauritanienne d'Information (AMI),Agence Mauritanienne d'Information (AMI),Agence Mauritanienne d'Information (AMI) (Arabic Language),Active,,Full Text,Full Coverage,20131115,20130826,"Agence Mauritanienne d'Information (AMI) is a news agency from Mauritania, covering business news, politics, culture and sports. Country of origin: Mauritania","Agence Mauritanienne d'Information (AMI) is a news agency from Mauritania, covering business news, politics, culture and sports. Country of origin: Mauritania",Daily,Continuously updated,As available,Source is government owned or controlled.,ALBWBA,http://www.ami.mr,AGMAIN,Agence Mauritanienne d'Information (AMI),,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Mauritania (MAURTN); West Africa (WAFR),20210122
AGMURFR,French,article,Agence Mauritanienne d'Information (AMI),Agence Mauritanienne d'Information (AMI),Agence Mauritanienne d'Information (AMI) (French Language),Active,,Full Text,Full Coverage,20131010,20130909,"Agence Mauritanienne d'Information (AMI) is a French/English language news agency from Mauritania, covering the business news, politics, culture and sport. Country of origin: Mauritania","Agence Mauritanienne d'Information (AMI) est une agence de presse qui couvre l’actualité économique, politique, culturelle et sportive de la Mauritanie en français et en anglais. Pays d'origine: Mauritanie",Daily,Continuously updated,As available,Source is government owned or controlled.,ALBWBA,http://fr.ami.mr/,AGMAIN,Agence Mauritanienne d'Information (AMI),,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Mauritania (MAURTN); West Africa (WAFR),20210122
NUAKFR,French,article,L'Agence Nouakchott d'Information (ANI),L'Agence Nouakchott d'Information (ANI),L'Agence Nouakchott d'Information (ANI) (French Language),Active,,Full Text,Full Coverage,20150409,20150408,"News agency with in-depth coverage of politics, business, culture, and sports. Country of origin: Mauritania","Agence de Presse offrant des informations exhaustives sur les événements liés à la politique, aux affaires et à la culture. Pays d'origine: Mauritanie",Daily,As available,As available,,ALBWBA,http://www.ani.mr,PBANIF,L'Agence Nouakchott d'Information (ANI),,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Mauritania (MAURTN); West Africa (WAFR),20210121
NUAKAG,Arabic,article,L'Agence Nouakchott d'Information (ANI),L'Agence Nouakchott d'Information (ANI),"L'Agence Nouakchott d'Information (ANI) (Mauritania, Arabic Language)",Discontinued,20201103.0,Full Text,Full Coverage,20150409,20150408,"Arabic and French language news agency covering  business, politics, culture and sports. Country of origin: Mauritania","Arabic and French language news agency covering  business, politics, culture and sports. Country of origin: Mauritania",Daily,Discontinued,Not available,This source has stopped updating.,ALBWBA,http://www.ani.mr,PBANIF,L'Agence Nouakchott d'Information (ANI),,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Mauritania (MAURTN); West Africa (WAFR),20200910
AGTOP,French,article,Agence Togolaise de Presse,Agence Togolaise de Presse,Agence Togolaise de Presse (French Language),Active,,Full Text,Full Coverage,20201212,20201026,"Agence Togolaise de Presse (ATOP) is a state-run news agency in Togo that covers national and international news, state news, business, culture, health, politics, tourism, transport and more. Country of origin: Togo","L'Agence Togolaise de Presse (ATOP) est une agence de presse publique togolaise qui couvre l'actualité nationale et internationale, l'actualité du gouvernement, les affaires, la culture, la santé, la politique, le tourisme et les transports. Pays d'origine: Togo",Daily,Same day as publication date,"Daily, as available",,ALBWBA,https://atop.tg/,PBTOGOP,Agence Togolaise de Presse (ATOP),,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Togo (TOGO); West Africa (WAFR),20201212
AANGLP,Portuguese,article,Agência Angola Press,Agência Angola Press,Agência Angola Press (Portuguese Language),Active,,Full Text,Full Coverage,20170719,20161221,"News agency owned by the government of Angola covering domestic and international politics, technology, science, sports, economy, education, society and tourism. Country of origin: Angola","Agência de notícias de Angola que oferece notícias sobre tecnologia e ciência, esporte, economia, educação, internacional, sociedade, turismo e política. País de origem: Angola",Daily,Same day as publication date,As available,Source is government owned or controlled.,AGAOPR,http://www.angop.ao,AGAOPR,Agencia Angola Press,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Angola (ANGOL); Southern Africa (SOUAFR),20201102
AGETAP,English,article,Agency Tunis Afrique Press,Agency Tunis Afrique Press,Agency Tunis Afrique Press,Active,,Full Text,Full Coverage,20090914,20090908,Agency Tunis Afrique Press is the official government news agency of Tunisia. Country of origin: Tunisia,Agency Tunis Afrique Press is the official government news agency of Tunisia. Country of origin: Tunisia,Daily,As available,As available,Source is government owned or controlled.,ALBWBA,http://www.tap.info.tn/en,ATAP,Agency Tunis Afrique Press,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Mediterranean (MEDZ); North Africa (NAFR); Tunisia (TUNIS),20210122
TAPTU,Arabic,article,Agency Tunis Afrique Press,Agency Tunis Afrique Press,Agency Tunis Afrique Press (Arabic Language),Active,,Full Text,Full Coverage,20110430,20100701,"News from Agency Tunis Afrique Press, the official government news agency of Tunisia. Country of origin: Tunisia","News from Agency Tunis Afrique Press, the official government news agency of Tunisia. Country of origin: Tunisia",Daily,Continuously updated,Throughout the day,Source is government owned or controlled.,ALBWBA,http://www.tap.info.tn,ATAP,Agency Tunis Afrique Press,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Mediterranean (MEDZ); North Africa (NAFR); Tunisia (TUNIS),20210122
ALMAGH,Arabic,article,Al Ahdath Al Maghribia,Al Ahdath Al Maghribia,"Al Ahdath Al Maghribia (Morocco, Arabic Language)",Active,,Full Text,Full Coverage,20130123,20130123,Al Ahdath Al Maghribia is a daily Moroccan arabophone socialist newspaper. It offers articles on both philosophy and personal advice columns. Country of origin: Morocco,Al Ahdath Al Maghribia is a daily Moroccan arabophone socialist newspaper. It offers articles on both philosophy and personal advice columns. Country of origin: Morocco,Daily,Start of local business day,7 a.m. (GMT),,ALBWBA,http://www.almaghribia.ma,MAGRIB,Entreprise Maghrébine de Médias,17463.0,OJDMA,OJD Maroc,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20210122
ALAKHB,Arabic,article,Al Akhbar,Al Akhbar,"Al Akhbar (Egypt, Arabic Language)",Active,,Full Text,Full Coverage,20151124,20151113,"A state-owned semi-official newspaper based in Egypt, first published in May 1952 as a part of Akhbar El Yom. Country of origin: Egypt","A state-owned semi-official newspaper based in Egypt, first published in May 1952 as a part of Akhbar El Yom. Country of origin: Egypt",Daily,Same day as publication date,Monday-Saturday,Source is government owned or controlled. | Sunday edition will be delivered on Monday,ASINET2,http://akhbarelyom.com,PBDAEY,Dar Akhbar El Yom,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210122
ALBAYA,French,article,Al Bayane,Al Bayane,"Al Bayane (Morocco, French Language)",Discontinued,20160825.0,Full Text,Full Coverage,20070525,20120522,"Newspaper covering national and international news, current affairs and politics. Country of origin: Morocco","Journal recouvrant les affaires courrantes et politiques, nationales et internationales. Pays d'origine: Maroc",Daily,Discontinued,Not available,This source has stopped updating.,ALBWBA,http://www.albayane.press.ma/,BYNYME,Bayane SA,5000.0,CSPUB,Publisher or Publisher Website,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20160424
